Edge 	Weight
16725 - 590 	15079
42614 - 591 	448
24757 - 592 	1075
38316 - 593 	6968
27689 - 594 	2556
6178 - 595 	4164
8690 - 596 	12928
15679 - 597 	4874
535 - 598 	3618
3366 - 599 	3715
17079 - 600 	10978
10685 - 601 	6150
24142 - 602 	4234
49858 - 603 	26420
29373 - 604 	15831
46800 - 605 	15344
6562 - 606 	8711
26630 - 607 	1579
5873 - 608 	9013
45185 - 609 	5716
469 - 610 	34
2476 - 611 	7042
3279 - 612 	5355
2106 - 613 	8133
16095 - 614 	3209
48690 - 615 	9195
25643 - 616 	3659
22782 - 617 	433
3658 - 618 	5883
37870 - 619 	7988
24253 - 620 	8568
13468 - 621 	8553
12535 - 622 	1136
3084 - 623 	1127
9973 - 624 	4137
14828 - 625 	1859
2208 - 626 	1613
33872 - 627 	414
31916 - 628 	10573
26875 - 629 	2469
25557 - 630 	8246
22803 - 631 	1569
46771 - 632 	1083
47935 - 633 	11514
13184 - 634 	21630
17851 - 635 	1692
44222 - 636 	3423
43010 - 637 	9019
38067 - 638 	4805
44334 - 639 	8335
40650 - 640 	11831
3321 - 641 	1458
12465 - 642 	5001
31857 - 643 	2911
25745 - 644 	1623
3800 - 645 	173
44158 - 646 	145
39195 - 647 	1848
31097 - 648 	8837
7004 - 649 	614
32665 - 650 	10724
5221 - 651 	6686
7712 - 652 	4115
24732 - 653 	5976
41220 - 654 	14541
5244 - 655 	6299
23410 - 656 	3843
11375 - 657 	4953
48771 - 658 	5443
21824 - 659 	4003
42922 - 660 	2282
6181 - 661 	1385
48815 - 662 	4887
31490 - 663 	16758
29998 - 664 	10341
1763 - 665 	9689
34630 - 666 	7089
35775 - 667 	3803
48901 - 668 	9717
33535 - 669 	4264
9783 - 670 	2284
46363 - 671 	10509
7858 - 672 	116
13566 - 673 	4783
1165 - 674 	5380
38786 - 675 	6465
38762 - 676 	6094
46755 - 677 	6077
885 - 678 	4276
6053 - 679 	10798
44869 - 680 	123
31238 - 681 	4834
38303 - 682 	1493
25220 - 683 	24321
48179 - 684 	4259
17641 - 685 	1400
45224 - 686 	3757
6759 - 687 	7246
5868 - 688 	14564
10398 - 689 	2827
35509 - 690 	5174
13970 - 691 	6247
15241 - 692 	11981
23987 - 693 	5001
36564 - 694 	5077
46447 - 695 	5
12332 - 696 	3815
43361 - 697 	3988
22300 - 698 	13219
13701 - 699 	3607
13852 - 700 	3184
35734 - 701 	6318
43241 - 702 	5787
36271 - 703 	2786
5681 - 704 	10130
24574 - 705 	2612
15673 - 706 	5996
23876 - 707 	3889
23275 - 708 	8232
7454 - 709 	492
718 - 710 	4863
30452 - 711 	4161
26471 - 712 	6378
12601 - 713 	6320
37333 - 714 	1697
7966 - 715 	9395
42721 - 716 	1901
43166 - 717 	4354
49205 - 718 	5044
23643 - 719 	6218
35860 - 720 	3596
15965 - 721 	4236
15607 - 722 	4175
39972 - 723 	8319
44845 - 724 	1945
382 - 725 	3957
44720 - 726 	4360
10343 - 727 	2683
9222 - 728 	2434
12970 - 729 	5130
16193 - 730 	677
6768 - 731 	6717
35140 - 732 	5318
17558 - 733 	14081
8363 - 734 	1635
36335 - 735 	2758
47482 - 736 	3753
15513 - 737 	4282
49975 - 738 	9428
49894 - 739 	7513
44975 - 740 	3750
6113 - 741 	4425
10295 - 742 	630
17244 - 743 	5574
5273 - 744 	5796
38542 - 745 	2819
573 - 746 	3844
29959 - 747 	1108
13478 - 748 	7464
6750 - 749 	10946
41360 - 750 	2575
14645 - 751 	597
30403 - 752 	6439
32707 - 753 	4584
31600 - 754 	14486
41471 - 755 	14046
5392 - 756 	10030
47913 - 757 	4388
6568 - 758 	1602
12787 - 759 	4193
28273 - 760 	2331
28670 - 761 	10574
21528 - 762 	9316
41264 - 763 	8043
44049 - 764 	5691
12282 - 765 	3255
36215 - 766 	4076
29124 - 767 	18638
33456 - 768 	1712
31088 - 769 	3285
39638 - 770 	140
33243 - 771 	3187
30677 - 772 	9085
18697 - 773 	4108
45194 - 774 	3901
33179 - 775 	3714
15687 - 776 	5567
46258 - 777 	5314
34496 - 778 	4661
11752 - 779 	732
12056 - 780 	1784
49863 - 781 	7349
29692 - 782 	4400
21209 - 783 	1325
29802 - 784 	10659
1649 - 785 	1011
9930 - 786 	5319
28321 - 787 	6849
46025 - 788 	5143
19719 - 789 	3194
7551 - 790 	14990
43034 - 791 	2797
38742 - 792 	9013
2539 - 793 	803
33989 - 794 	2810
45822 - 795 	8916
43566 - 796 	5279
48548 - 797 	11685
48016 - 798 	2437
38331 - 799 	6450
14398 - 800 	5033
41985 - 801 	2153
21329 - 802 	13972
7676 - 803 	6735
8476 - 804 	2457
849 - 805 	3235
3839 - 806 	7225
26803 - 807 	3272
45570 - 808 	5737
25303 - 809 	651
24798 - 810 	6823
32313 - 811 	4306
18881 - 812 	362
33738 - 813 	330
19076 - 814 	7726
42149 - 815 	7402
15557 - 816 	3404
33080 - 817 	7621
6139 - 818 	9006
39207 - 819 	4131
211 - 820 	6509
22795 - 821 	2138
43768 - 822 	22417
49327 - 823 	6269
31613 - 824 	6460
3411 - 825 	4699
10741 - 826 	13235
9898 - 827 	6898
48920 - 828 	7533
38951 - 829 	5246
33705 - 830 	8060
8065 - 831 	5271
17572 - 832 	5713
41494 - 833 	5579
35676 - 834 	14737
30602 - 835 	6869
26894 - 836 	6225
24454 - 837 	13680
18026 - 838 	1181
46976 - 839 	7924
9491 - 840 	5278
49509 - 841 	5689
6609 - 842 	3572
5824 - 843 	9283
42673 - 844 	2838
11979 - 845 	5460
21861 - 846 	4163
33125 - 847 	2521
2448 - 848 	4436
5907 - 849 	10194
37899 - 850 	1017
24914 - 851 	593
47696 - 852 	5150
36184 - 853 	4426
49001 - 854 	1095
17753 - 855 	153
29665 - 856 	4157
8629 - 857 	3621
17260 - 858 	8222
19697 - 859 	8035
46708 - 860 	11196
41936 - 861 	3204
49337 - 862 	4931
45253 - 863 	3074
35009 - 864 	1148
2771 - 865 	1957
18134 - 866 	10519
35275 - 867 	6572
28446 - 868 	1973
6860 - 869 	3286
48794 - 870 	12461
5163 - 871 	17152
9206 - 872 	6555
4710 - 873 	1416
8232 - 874 	2304
15654 - 875 	504
6379 - 876 	1204
46371 - 877 	5905
34051 - 878 	3650
19747 - 879 	4086
31015 - 880 	101
44435 - 881 	4753
7434 - 882 	2465
21099 - 883 	3666
49982 - 884 	2942
5338 - 885 	4560
28990 - 886 	1299
44527 - 887 	1352
36143 - 888 	15063
34034 - 889 	3908
24651 - 890 	6177
21122 - 891 	462
5810 - 892 	5010
41172 - 893 	3486
27181 - 894 	5332
1257 - 895 	1188
3622 - 896 	21215
3975 - 897 	3264
9349 - 898 	2203
33781 - 899 	1205
24091 - 900 	7472
41894 - 901 	463
33577 - 902 	3618
4335 - 903 	3358
4669 - 904 	3856
27584 - 905 	4240
48054 - 906 	3168
11917 - 907 	1793
9187 - 908 	7008
36817 - 909 	17929
40853 - 910 	5814
48202 - 911 	1709
40899 - 912 	3192
35505 - 913 	4292
30780 - 914 	10335
31297 - 915 	5148
26773 - 916 	8628
48321 - 917 	1118
43420 - 918 	13200
39206 - 919 	2969
27853 - 920 	321
1561 - 921 	3194
39424 - 922 	7349
32879 - 923 	7020
19564 - 924 	6797
25885 - 925 	12815
6598 - 926 	7846
42735 - 927 	9721
46129 - 928 	6903
30208 - 929 	1831
7177 - 930 	458
11238 - 931 	12568
37524 - 932 	2779
26496 - 933 	3578
42450 - 934 	2827
28817 - 935 	7949
25334 - 936 	4359
44830 - 937 	154
3401 - 938 	6640
17481 - 939 	564
39402 - 940 	1014
27392 - 941 	1824
34769 - 942 	6606
36317 - 943 	8760
261 - 944 	4481
33407 - 945 	8959
4312 - 946 	1913
10038 - 947 	7437
6412 - 948 	18985
23731 - 949 	4317
41334 - 950 	6682
41959 - 951 	3270
9233 - 952 	5002
15246 - 953 	15069
46959 - 954 	347
32233 - 955 	4762
22084 - 956 	3182
7610 - 957 	21946
1674 - 958 	14605
31813 - 959 	10885
23063 - 960 	4700
198 - 961 	11420
36251 - 962 	14357
22355 - 963 	5996
35125 - 964 	3619
14381 - 965 	10724
29873 - 966 	3282
39434 - 967 	6200
27678 - 968 	10673
42203 - 969 	2914
17850 - 970 	3821
29920 - 971 	6970
47113 - 972 	1863
23522 - 973 	4476
24511 - 974 	28936
47558 - 975 	1798
34682 - 976 	1274
39417 - 977 	1947
14382 - 978 	1278
7698 - 979 	1695
38334 - 980 	11507
42954 - 981 	5965
14630 - 982 	14965
36610 - 983 	3660
294 - 984 	6586
42324 - 985 	7412
25549 - 986 	5330
35433 - 987 	10181
31142 - 988 	4887
37657 - 989 	9057
34068 - 990 	5939
33749 - 991 	4659
25710 - 992 	1078
6416 - 993 	18402
12684 - 994 	108
32793 - 995 	10206
7174 - 996 	6852
45959 - 997 	2393
1530 - 998 	4369
30966 - 999 	1022
2504 - 1000 	4906
17966 - 1001 	2014
44968 - 1002 	9605
10107 - 1003 	3582
6975 - 1004 	856
22212 - 1005 	8913
17697 - 1006 	9450
16378 - 1007 	3104
15322 - 1008 	4638
9111 - 1009 	11685
3917 - 1010 	5622
21337 - 1011 	1698
3867 - 1012 	3822
26579 - 1013 	11381
