Edge 	Weight
6421 - 678 	335 
486 - 679 	1296 
3735 - 680 	365 
2450 - 681 	2330 
9784 - 682 	668 
2454 - 683 	1114 
652 - 684 	1629 
2283 - 685 	715 
682 - 686 	953 
4125 - 687 	1380 
1222 - 688 	1255 
2759 - 689 	239 
9878 - 690 	1186 
3662 - 691 	2093 
6846 - 692 	478 
3895 - 693 	136 
2146 - 694 	864 
6992 - 695 	57 
4834 - 696 	2026 
6372 - 697 	1820 
4078 - 698 	2350 
990 - 699 	1296 
1544 - 700 	3685 
5868 - 701 	161 
7985 - 702 	3463 
5385 - 703 	40 
9217 - 704 	460 
7036 - 705 	399 
4390 - 706 	1738 
618 - 707 	279 
5259 - 708 	18 
3272 - 709 	1032 
3341 - 710 	74 
1364 - 711 	1745 
2421 - 712 	22 
8808 - 713 	1624 
5009 - 714 	1297 
5666 - 715 	892 
4434 - 716 	1256 
4978 - 717 	1710 
4829 - 718 	471 
5856 - 719 	44 
9223 - 720 	864 
4818 - 721 	1372 
215 - 722 	943 
3903 - 723 	992 
7028 - 724 	1325 
747 - 725 	2171 
4173 - 726 	2455 
3918 - 727 	1001 
5989 - 728 	2170 
1365 - 729 	1047 
8717 - 730 	399 
2050 - 731 	796 
262 - 732 	1330 
7993 - 733 	181 
1732 - 734 	1682 
6469 - 735 	205 
7004 - 736 	674 
4086 - 737 	1919 
4973 - 738 	536 
9405 - 739 	114 
3831 - 740 	3126 
1860 - 741 	2087 
629 - 742 	429 
629 - 743 	1559 
1133 - 744 	1567 
6445 - 745 	1753 
521 - 746 	1067 
9446 - 747 	261 
1396 - 748 	1829 
2610 - 749 	994 
9414 - 750 	1157 
159 - 751 	1128 
9339 - 752 	1032 
1764 - 753 	1951 
1201 - 754 	888 
41 - 755 	362 
5450 - 756 	416 
9509 - 757 	733 
2207 - 758 	1342 
4804 - 759 	771 
2738 - 760 	1346 
6226 - 761 	3244 
8792 - 762 	827 
4381 - 763 	1155 
9844 - 764 	1359 
9248 - 765 	841 
8514 - 766 	137 
7589 - 767 	2072 
7572 - 768 	20 
3321 - 769 	1868 
4648 - 770 	44 
6494 - 771 	760 
6562 - 772 	1519 
898 - 773 	164 
2541 - 774 	931 
1444 - 775 	844 
7984 - 776 	305 
2799 - 777 	782 
7192 - 778 	2999 
1397 - 779 	396 
3754 - 780 	717 
9271 - 781 	1558 
2583 - 782 	1665 
6888 - 783 	3504 
658 - 784 	556 
4445 - 785 	428 
549 - 786 	999 
4266 - 787 	316 
8160 - 788 	2459 
5264 - 789 	2403 
5065 - 790 	940 
8574 - 791 	676 
3393 - 792 	1157 
8596 - 793 	982 
3657 - 794 	2455 
1610 - 795 	630 
1167 - 796 	719 
3023 - 797 	817 
4714 - 798 	547 
1964 - 799 	966 
4659 - 800 	687 
7334 - 801 	2470 
1947 - 802 	943 
3504 - 803 	1187 
6410 - 804 	1566 
8494 - 805 	1577 
4550 - 806 	1325 
3317 - 807 	214 
